id,label
1571743900.829366_0.1.png,0.1
1571743901.0525975_0.19.png,0.19
1571743901.2681353_0.28.png,0.28
1571743901.5050101_0.38.png,0.38
1571743901.7268791_0.46.png,0.46
1571743901.946067_0.56.png,0.56
1571743902.1565874_0.63.png,0.63
1571743902.3709424_0.7.png,0.7
1571743902.584485_0.77.png,0.77
1571743902.8012514_0.84.png,0.84
1571743903.0178142_0.92.png,0.92
1571743903.229113_1.0.png,1.0
1571743903.451044_1.09.png,1.09
1571743903.6554327_1.16.png,1.16
1571743903.873252_1.24.png,1.24
1571743904.0836322_1.31.png,1.31
1571743904.2493498_1.36.png,1.36
1571743904.472563_1.46.png,1.46
1571743904.6970303_1.56.png,1.56
1571743904.9065683_1.63.png,1.63
1571743905.1292646_1.72.png,1.72
1571743905.295655_1.77.png,1.77
1571743905.5130522_1.86.png,1.86
1571743905.7195346_1.93.png,1.93
1571743905.9409049_2.02.png,2.02
1571743906.1577773_2.12.png,2.12
1571743906.3807378_2.2.png,2.2
1571743906.6008205_2.29.png,2.29
1571743906.8227835_2.4.png,2.4
1571743907.0342772_2.46.png,2.46
1571743907.2555711_2.54.png,2.54
1571743907.472748_2.61.png,2.61
1571743907.6896253_2.69.png,2.69
1571743907.912786_2.78.png,2.78
1571743908.1332002_2.88.png,2.88
1571743908.3498335_2.96.png,2.96
1571743908.56292_3.04.png,3.04
1571743908.7798584_3.11.png,3.11
1571743908.9961264_3.2.png,3.2
1571743909.2191286_3.3.png,3.3
1571743909.4298325_3.37.png,3.37
1571743909.6398408_3.44.png,3.44
1571743909.8626325_3.54.png,3.54
1571743910.0842104_3.64.png,3.64
1571743910.2623746_3.69.png,3.69
1571743910.4727936_3.77.png,3.77
1571743910.6453488_3.82.png,3.82
1571743910.8554304_3.9.png,3.9
1571743911.0849419_3.99.png,3.99
1571743911.2961402_4.06.png,4.06
1571743911.512625_4.13.png,4.13
1571743911.7291715_4.21.png,4.21
1571743911.947316_4.29.png,4.29
1571743912.1643329_4.37.png,4.37
1571743912.3896503_4.44.png,4.44
1571743912.6140254_4.54.png,4.54
1571743912.8346565_4.64.png,4.64
1571743913.0554252_4.71.png,4.71
1571743913.2848492_4.8.png,4.8
1571743913.5119748_4.89.png,4.89
1571743913.7406938_5.0.png,5.0
1571743913.962625_5.09.png,5.09
1571743914.1752276_5.17.png,5.17
1571743914.3895478_5.24.png,5.24
1571743914.607679_5.32.png,5.32
1571743914.829765_5.42.png,5.42
1571743915.052336_5.48.png,5.48
1571743915.281276_5.57.png,5.57
1571743915.448235_5.62.png,5.62
1571743915.6683726_5.71.png,5.71
1571743915.8909538_5.82.png,5.82
1571743916.106025_5.89.png,5.89
1571743916.2744246_5.94.png,5.94
1571743916.4961705_6.04.png,6.04
1571743916.667789_6.09.png,6.09
1571743916.8894928_6.17.png,6.17
1571743917.1190186_6.26.png,6.26
1571743917.3446155_0.07.png,0.07
1571743917.5743597_0.15.png,0.15
1571743917.7979567_0.25.png,0.25
1571743917.9705617_0.3.png,0.3
1571743918.1457934_0.36.png,0.36
1571743918.3650112_0.45.png,0.45
1571743918.5792627_0.52.png,0.52
1571743918.79093_0.59.png,0.59
1571743919.0127723_0.67.png,0.67
1571743919.2495008_0.75.png,0.75
1571743919.4742694_0.83.png,0.83
1571743919.6961896_0.91.png,0.91
1571743919.9180653_1.0.png,1.0
1571743920.1409516_1.09.png,1.09
1571743920.362462_1.19.png,1.19
1571743920.5798686_1.29.png,1.29
1571743920.79326_1.39.png,1.39
1571743921.0125103_1.48.png,1.48
1571743921.2317543_1.57.png,1.57
1571743921.4507377_1.66.png,1.66
1571743921.6624558_1.73.png,1.73
1571743921.8789017_1.81.png,1.81
1571743922.0957313_1.9.png,1.9
1571743922.3133056_1.98.png,1.98
1571743922.5288844_2.07.png,2.07
1571743922.746854_2.16.png,2.16
1571743922.9627862_2.26.png,2.26
1571743923.1739147_2.33.png,2.33
1571743923.3908617_2.4.png,2.4
1571743923.6180785_2.49.png,2.49
